Title;Release Date;Team;Rating;Number of Reviews;Genres;Summary;Plays;Price (Euros) 
The Last of Us Part II;Jun 19, 2020;Naughty Dog;4.1;2500;Shooter;The Last of Us Part II is an action-adventure ...;13000;11,00
Silent Hill 2;Sep 24, 2001;Konami;4.5;2200;Puzzle;The second entry in the Silent Hill franchise,...;8600;Free to play
The Witcher 3: Wild Hunt;May 19, 2015;CD Projekt RED;4.3;2000;RPG;RPG and sequel to The Witcher 2 (2011), The Wi...;17000;69,00
Persona 5;Sep 15, 2016;Atlus;4.1;1800;RPG;Persona 5, a turn-based JRPG with visual novel...;16000;34,00
Doom Eternal;Mar 19, 2020;Blizzard Entertainment;4.2;1900;Shooter;Hell’s armies have invaded Earth. Become the S...;12000;13,00
The Elder Scrolls V: Skyrim;Nov 10, 2011;Bethesda Game Studios;3.7;1700;RPG;Skyrim reimagines and revolutionizes the open-...;22000;27,00
Neon White;Jun 16, 2022;Blizzard Entertainment;4.1;868;Indie;;2900;69,00
Devil May Cry 5;Mar 08, 2019;Capcom;4.3;1900;Brawler;Devil May Cry 5 is a brand-new entry in the le...;12000;19,00
Overwatch 2;Oct 04, 2022;Blizzard Entertainment;2.7;491;Shooter;Reunite and stand together in a new age of her...;6600;24,00
Resident Evil 4;Jan 11, 2005;Capcom;4.3;2300;Shooter;Resident Evil 4 is the sixth installment of th...;14000;15,00
Final Fantasy VII Remake;Apr 10, 2020;Blizzard Entertainment;4.1;2000;RPG;A spectacular re-imagining of one of the most ...;12000;46,00
