,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
24,2024-03-03,-582727.0716698118,662550.8235518973,714127.2080996373,-2760557.290550438,1923512.0255890458,1270059.7024890324,-1213389.2474183599,3401397.4037424857,1256662.1354892508,-1223067.5291697981,3463323.5023672897,13397.566999781418,-15993.510122956115,42232.868326868505,0.0,0.0,0.0,687332.6308192206
25,2024-03-10,-586010.8285834799,670218.2701100737,726505.3139522662,-2741214.6730140066,1942597.083523144,1280947.0882347373,-1237127.3161094463,3404470.8209988265,1256662.1355114442,-1223067.529133027,3463323.5023954012,24284.952723293343,-20528.034284083507,74096.05190306099,0.0,0.0,0.0,694936.2596512574
26,2024-03-17,-589294.5854971476,660452.4535881388,714987.4287794287,-2721872.0554775735,1945608.1489533735,1277308.0665992794,-1268299.2659413733,3391159.9413561113,1256662.135466154,-1223067.5291978302,3463323.502345424,20645.93113312538,-47305.70682121579,88128.9029061536,0.0,0.0,0.0,688013.4811021318
27,2024-03-24,-592621.3407577607,664702.4787794548,723939.3896886326,-2700698.988428272,1958734.737622932,1287261.7831382572,-1283488.8915251694,3380807.8425490665,1256662.1354883472,-1223067.5291610612,3463323.502373536,30599.647649910356,-62238.78440422303,124183.04832725087,0.0,0.0,0.0,694640.4423804965
28,2024-03-31,-595911.6105725925,696161.2297635393,747899.0585587093,-2677703.1256516417,1996776.2882466908,1312702.707634301,-1276917.5917905783,3403176.346992983,1256662.1355105399,-1223067.5291242902,3463323.502401647,56040.57212376106,-60286.76458089695,167338.76874780958,0.0,0.0,0.0,716791.0970617085
29,2024-04-07,-599201.8803874244,703263.684223868,754104.5881164336,-2684382.7255455395,2020919.1735797669,1328082.1669803716,-1292491.5098872788,3436801.6444297307,1256662.135498992,-1223067.5291383052,3463323.502390715,71420.03148137953,-72381.81372091947,195237.38406401058,0.0,0.0,0.0,728880.2865929472
30,2024-04-14,-602545.8060122766,689194.5621720888,743144.2816758866,-2711700.348348056,2017550.130657149,1317261.0074917248,-1292649.877636349,3454278.6564051784,1256662.1355424852,-1223067.529088012,3463323.502430086,60598.871949239896,-105075.6787926619,212877.18682731126,0.0,0.0,0.0,714715.2014794482
31,2024-04-21,-605891.8709626927,668348.825455892,727410.4619906999,-2728301.0433652927,2003416.0251775612,1297743.0557347336,-1309754.7905608572,3428647.04625127,1256662.1354971945,-1223067.5291528176,3463323.5023801094,41080.92023753912,-149129.21734877437,208509.0932510655,0.0,0.0,0.0,691851.1847720409
32,2024-04-28,-609237.9359131085,664329.209521443,714967.9815385444,-2724909.2653143196,2003164.643666721,1299526.8762969675,-1301599.9290181072,3402608.196918908,1256662.1355193881,-1223067.5291160452,3463323.502408221,42864.740777579565,-160671.25642795063,231536.48936172793,0.0,0.0,0.0,690288.940383859
33,2024-05-05,-612532.4175972064,688705.6137011127,745909.5052891956,-2709680.583621339,1978617.9855167177,1326381.763338703,-1274758.2300672561,3396282.557449745,1256662.1355078393,-1223067.5291300616,3463323.5023972886,69719.62783086361,-160093.4627983056,277920.663210762,0.0,0.0,0.0,713849.3457414965
34,2024-05-12,-615833.73019927,708848.5665154422,758534.9856550964,-2690121.3353762683,1932454.2172170582,1350504.3094953094,-1200683.7125994149,3410932.89159429,1256662.135496291,-1223067.52914408,3463323.5023863562,93842.17399901818,-163280.51359916636,314892.1022576884,0.0,0.0,0.0,734670.5792960394
35,2024-05-19,-619135.0428013336,704801.6519453685,751094.5956865204,-2691265.0286915954,1915257.5358609855,1347619.4012308007,-1187177.830194204,3429321.4909068346,1256662.1354847425,-1223067.5291580958,3463323.5023754234,90957.26574605826,-188365.3611395022,333773.5312364959,0.0,0.0,0.0,728484.3584294671
36,2024-05-26,-622527.1627120429,681508.0456531562,737497.4706890438,-2732863.4147514873,1904883.9449260407,1326889.61427059,-1198251.0602643995,3452492.2516113557,1256662.135494494,-1223067.5291585887,3463323.5023757513,70227.47877609581,-236019.95257797025,335724.528233808,0.0,0.0,0.0,704362.4515585471
37,2024-06-02,-625962.8689460305,670847.6149984776,716736.4592488382,-2806462.1780510712,1906896.1240052676,1317341.8440250645,-1216756.4971410576,3493170.154100516,1256662.1354829455,-1223067.5291726063,3463323.502364819,60679.70854211894,-266562.7891171666,334102.9530788181,0.0,0.0,0.0,691378.975079034
38,2024-06-09,-629398.5751800181,676755.477841371,728116.7631959257,-2880060.9413506556,1903435.1176097197,1329539.914939872,-1210969.5112623526,3561270.0502425656,1256662.1355051387,-1223067.5291358354,3463323.5023929295,72877.77943473321,-279731.773567296,376492.8456090121,0.0,0.0,0.0,700141.3397598539
39,2024-06-16,-632834.2814140057,681301.4483041235,735660.0330420929,-2953064.084067467,1894140.8232891925,1342852.4830463803,-1186172.5063035488,3651461.1313628224,1256662.1354598491,-1223067.5292006393,3463323.5023429543,86190.34758653138,-295545.7491713695,412631.42826616066,0.0,0.0,0.0,710018.2016323747
40,2024-06-23,-636269.9876479933,668041.5807424316,718491.1593363112,-2931029.762358124,1880806.301674091,1333932.2566860411,-1170915.9739666875,3658275.355289897,1256662.135503342,-1223067.5291503458,3463323.502382326,77270.12118269922,-324155.31065275485,436036.8021357766,0.0,0.0,0.0,697662.2690380479
41,2024-06-30,-639705.6938819808,637223.7619896467,695080.2198144508,-2938671.1334563447,1857489.418537347,1307486.8506789326,-1199214.7267161882,3636423.8536636154,1256662.1354917937,-1223067.5291643625,3463323.5023713936,50824.71518713882,-364449.83642231877,426242.75963148946,0.0,0.0,0.0,667781.1567969518
42,2024-07-07,-643141.4001159683,613942.0791104154,677927.2488876106,-2975980.992839569,1848293.227173753,1288394.5215698148,-1206279.767937099,3615906.7674863543,1256662.1355139867,-1223067.5291275918,3463323.502399504,31732.386055828025,-402068.9559899735,437154.5185853309,0.0,0.0,0.0,645253.1214538465
43,2024-07-14,-646577.1063499559,613717.7368098173,662999.9263295922,-2981169.163476299,1847195.0021775996,1287126.673466831,-1212316.727782996,3611587.6624650257,1256662.1355361796,-1223067.5290908213,3463323.5024276157,30464.53793065108,-431447.42680121073,466373.49728625297,0.0,0.0,0.0,640549.5671168751
44,2024-07-21,-650012.8125839436,607252.4169647255,663486.0868777917,-2943332.5991645283,1846096.777181446,1287219.2159546495,-1239156.9626671355,3572975.520848169,1256662.13549089,-1223067.529155624,3463323.5023776395,30557.080463759918,-465184.1708146536,496553.57071261713,0.0,0.0,0.0,637206.4033707059
45,2024-07-28,-653448.5188179312,594541.7891136988,649326.9485457955,-2889957.0621945667,1845796.34738486,1273661.642234853,-1247106.8562879404,3488883.4702691524,1256662.1355130828,-1223067.5291188536,3463323.5024057506,16999.506721769758,-519174.04704219237,497593.763972594,0.0,0.0,0.0,620213.1234169218
46,2024-08-04,-656884.2250519188,567894.1954209604,637681.6606337903,-2884416.128395864,1852964.594743006,1263025.7946538497,-1250321.5621802325,3485075.2241406264,1256662.1355015344,-1223067.5291328714,3463323.502394818,6363.659152315408,-534946.7152567252,484621.43288203067,0.0,0.0,0.0,606141.5696019309
