,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
13,2023-09-18,622079.4172967562,68313.75486388551,79933.07957100698,306574.005232313,946760.983493288,-547689.7453300428,-870892.3677667445,-233135.4268625427,-514018.0883640976,-838354.5803231145,-199004.81567421852,-14787.103762435956,-15472.984997038515,-13974.636400429776,-18884.553203509346,-22680.281286195026,-14419.7991588019,0.0,0.0,0.0,74389.67196671339
14,2023-09-19,621991.1256905755,81374.35019846224,94097.02998842682,306382.7696240277,946601.679025365,-532695.8555229374,-855675.3924044499,-218184.0927907853,-514018.0883657544,-838354.5803196444,-199004.8156709901,266.23054241753243,-417.9134841261166,866.0564715619067,-18943.997699600524,-22752.87626395549,-14521.696477554238,0.0,0.0,0.0,89295.27016763808
15,2023-09-20,621902.8340843949,89387.06559849955,101256.12035052675,306191.53401574236,946442.374557442,-527147.6305374514,-849207.4984973905,-212334.32945046749,-514018.08837096015,-838354.580323114,-199004.81568424532,5769.321224332116,5060.470905730497,6468.614036739377,-18898.86339082336,-22811.827393317402,-14540.692288169455,0.0,0.0,0.0,94755.20354694349
16,2023-09-21,621814.5424782141,93099.64803172575,105016.84542826534,306000.2984074571,946283.070089519,-522908.52993993,-845040.4808416809,-208953.3191749955,-514018.08837616583,-838354.5803265835,-199004.81569750045,9867.114547248946,9210.163560600997,10416.297567000584,-18757.556111013157,-22546.812990167084,-14418.155240114267,0.0,0.0,0.0,98906.01253828412
17,2023-09-22,621726.2508720335,87451.01206144702,99190.38236160316,305809.0627991718,946123.765621596,-528683.3060240905,-851525.1609657618,-213003.62961727087,-514018.08837782266,-838354.5803231134,-199004.81569427202,3865.1304295859313,3307.400109945394,4399.17937485587,-18530.348075853708,-22350.30078016055,-14243.953564305786,0.0,0.0,0.0,93042.94484794303
18,2023-09-23,621637.959265853,91043.93675708552,101743.11373847918,305618.3126761014,945964.461153673,-525122.8202391985,-848266.0932868022,-210106.49649758614,-514018.0883830283,-838354.580326583,-199004.81570752716,7124.2626286402,6401.616924532665,7893.188178717557,-18228.994484810282,-21966.302023585544,-14072.365687918584,0.0,0.0,0.0,96515.13902665453
19,2023-09-24,621549.6676596723,72292.08255975366,83103.55772097732,305462.1342685122,945805.1566857499,-543989.352861106,-867490.8666609646,-230848.66874343046,-514018.0883646329,-838354.5803219933,-199004.81567317547,-12104.955609781122,-12898.652081084621,-11291.247827441515,-17866.308886692048,-21663.050005413013,-13840.84334901682,0.0,0.0,0.0,77560.31479856628
20,2023-09-25,621461.3760534917,68210.6424795772,81730.96120193481,305305.955860923,945645.852217827,-546260.9038779252,-870515.2521049945,-232725.0298651626,-514018.0883698386,-838354.5803254629,-199004.8156864307,-14787.10376241117,-15472.984997011807,-13974.636400406624,-17455.711745675584,-21285.475098272746,-13562.720113249641,0.0,0.0,0.0,75200.47217556648
21,2023-09-26,621373.0844473111,84727.07359865993,96718.16242220087,305149.7774533338,945486.5477499039,-530762.6253014485,-854356.9558885738,-217950.99720034053,-514018.0883714954,-838354.580321993,-199004.81568320224,266.23054241090654,-417.9134841309117,866.0564715532047,-17010.767472363954,-20798.94131708399,-13281.424173843954,0.0,0.0,0.0,90610.45914586261
22,2023-09-27,621284.7928411304,89931.70314791703,102407.62054871651,304993.59904574463,945327.243281981,-524793.4926703235,-848756.1407918134,-211864.77886008885,-514018.08837670117,-838354.5803254624,-199004.8156964574,5769.3212243226435,5060.470905724178,6468.614036728338,-16544.72551794487,-20299.19161896981,-12781.449019020802,0.0,0.0,0.0,96491.30017080694
