pickup_datetime,passenger_count,trip_distance,total_amount,duration,n_trips
2023-11-28,116468,143026.83,1876274.31,1125886.6833333333,93592
2023-11-29,107620,129889.22,1765642.4,1083781.0,86882
2023-11-30,119553,146153.2,1952911.94,1209004.3166666667,94857
2023-12-01,132008,151355.01,2026022.76,1249874.2833333334,99737
2023-12-02,136071,155411.69,1871892.6,1153621.85,95724
2023-12-03,114983,134968.35,1541303.75,905835.9333333333,81710
2023-12-04,100517,125796.16,1568790.63,932093.1666666666,78778
2023-12-05,117427,146796.24,1920455.0,1174725.0833333333,94006
2023-12-06,125034,155273.17,2043749.34,1246752.4,100066
2023-12-07,129365,159827.16,2126064.33,1320315.8333333333,103188
2023-12-08,137747,163029.75,2115458.6,1286987.6166666667,103620
2023-12-09,150003,169092.64,2065664.85,1273611.2833333334,105325
2023-12-10,121764,143619.7,1660816.48,968272.7333333333,87470
2023-12-11,109734,135455.94,1710012.98,1009790.7333333333,86498
2023-12-12,123055,154168.31,2021606.5,1230736.5666666667,98459
2023-12-13,132830,167121.48,2197179.67,1348123.9166666667,106578
2023-12-14,138460,170271.97,2308287.98,1419783.8333333333,110465
2023-12-15,146475,176548.32,2274951.67,1376153.8,111417
2023-12-16,150987,172225.9,2099570.46,1289517.65,107122
2023-12-17,119792,140716.1,1601842.07,932135.8,84355
2023-12-18,106439,126507.02,1586859.71,922680.3833333333,81285
2023-12-19,126143,150938.96,1969148.94,1192215.0833333333,98074
2023-12-20,122435,146179.79,1897799.4,1147907.7666666666,94883
2023-12-21,122795,142155.49,1862095.91,1131000.5166666666,93485
2023-12-22,122988,140378.52,1757613.97,1040472.6666666666,90204
2023-12-23,96442,105738.2,1228803.51,725916.3333333334,66149
2023-12-24,79098,86938.73,951568.76,533378.4166666666,53102
2023-12-25,49926,58090.96,612017.09,338687.6666666667,33419
2023-12-26,75129,84486.54,992525.42,575846.6833333333,50998
2023-12-27,88023,95083.03,1179925.22,709144.6166666667,60211
2023-12-28,91332,99675.96,1241779.86,750894.75,62805
2023-12-29,95012,106009.95,1277213.36,754522.8666666667,64790
2023-12-30,93834,104742.08,1177441.68,694386.7,62543
2023-12-31,85222,98601.42,1067208.61,587939.8333333334,59302
2024-01-01,84555,101384.98,1118095.16,601992.5666666667,58620
2024-01-02,77085,93762.37,1075312.51,596637.95,57168
2024-01-03,84769,104934.74,1221186.09,683066.0833333334,64521
2024-01-04,108060,139012.23,1638934.72,936616.7666666667,83297
2024-01-05,111303,140934.37,1638082.47,926139.3666666667,84757
2024-01-06,112317,132210.09,1467983.85,832898.75,80497
2024-01-07,71987,87037.45,919503.27,479367.11666666664,52261
2024-01-08,79564,103845.59,1208854.58,661429.3,64069
2024-01-09,96944,121055.67,1514812.82,873033.05,79631
2024-01-10,95273,125437.65,1506491.71,854684.6833333333,77851
2024-01-11,105116,136658.43,1669136.0,967549.6166666667,84695
2024-01-12,109330,135221.69,1631438.48,935594.4,84015
2024-01-13,122130,143503.44,1641167.61,951131.7166666667,87259
2024-01-14,107463,128477.12,1414880.79,781616.0166666667,76813
2024-01-15,79635,97496.69,1083369.96,596551.2166666667,60688
2024-01-16,90119,112822.1,1415938.13,801684.15,73364
2024-01-17,109994,138171.35,1761645.76,1018691.1833333333,90005
2024-01-18,111348,143152.22,1787835.92,1044637.2333333333,90859
2024-01-19,103371,126059.36,1532219.41,865353.0666666667,80099
2024-01-20,126747,148812.81,1713216.71,985703.3,92598
2024-01-21,90394,110781.03,1207516.16,650157.7166666667,67334
2024-01-22,84170,109046.07,1310331.64,738590.3166666667,68837
2024-01-23,100362,129980.53,1619301.91,954517.15,82168
2024-01-24,105592,137487.83,1718751.13,1015889.3666666667,86748
2024-01-25,109432,143526.93,1787081.68,1058318.9333333333,89680
2024-01-26,111746,139423.66,1698901.97,992416.5,87094
2024-01-27,128189,155847.93,1776405.42,1053420.3833333333,92851
2024-01-28,100297,123417.63,1362174.23,757655.9666666667,74897
2024-01-29,83018,108052.45,1291917.78,724477.5,67971
2024-01-30,102212,132189.52,1645051.29,953167.6,84123
2024-01-31,102251,133783.56,1666930.12,976194.2333333333,84572
2024-02-01,109362,143793.89,1777782.09,1045015.65,89952
