,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
13,2023-09-18,98532.75359147559,60140.2737146973,76325.1533593679,95657.6861175676,101850.92479330831,-29700.80326305226,-33727.933850550464,-25424.60507641568,-12731.200400336495,-13656.483182786027,-11725.3284521243,-16969.602862715765,-20609.47984994903,-13206.439741758135,0.0,0.0,0.0,68831.95032842332
14,2023-09-19,98465.85719969415,76691.00363304591,88526.54146154785,95582.47792473076,101736.05600306316,-16599.759417534275,-20339.47936224688,-12835.086606966117,414.55036566145225,-317.43535281594023,1137.665769415078,-17014.30978319573,-20509.41327995237,-13036.284583333847,0.0,0.0,0.0,81866.09778215986
15,2023-09-20,98398.9608079127,79747.98197299353,92129.40720585173,95590.9385193845,101615.9602336266,-11864.799152807815,-16430.779691056177,-7984.954319591878,5095.034880823118,4392.123417739416,5971.917193074244,-16959.834033630937,-20378.314714989014,-13102.317081933836,0.0,0.0,0.0,86534.1616551049
16,2023-09-21,98332.06441613128,84027.43574365042,96706.6723696368,95541.0803239708,101495.86446419003,-8130.560349631277,-11795.397439988441,-5000.358008277974,8683.380987735769,7788.980586801415,9413.456337800717,-16813.941337367043,-20334.35665730343,-13241.85634513403,0.0,0.0,0.0,90201.5040665
17,2023-09-22,98265.16802434984,77437.34344986123,90871.91873149658,95451.86961885894,101375.76869475345,-12785.54654574967,-16244.70692907418,-8659.573098730463,3800.7001226158336,3170.592714761248,4522.986251150532,-16586.246668365504,-20222.926038098554,-13077.933231759118,0.0,0.0,0.0,85479.62147860017
18,2023-09-23,98198.2716325684,80005.01907705463,94603.7711587113,95362.65891374709,101255.6729253169,-10362.17107525305,-14235.405329998326,-6813.8903059916875,5925.685808302582,5240.031374440755,6602.870373639914,-16287.856883555634,-20024.294162247206,-12597.481693364874,0.0,0.0,0.0,87836.10055731535
19,2023-09-24,98131.37524078696,62915.02688352575,77862.52282933213,95273.44820863522,101135.57715588034,-27119.12332425759,-31374.29433831785,-23591.481686694373,-11188.151764794391,-11970.757145694528,-10370.064995143699,-15930.971559463207,-19493.95668923968,-12424.313892229411,0.0,0.0,0.0,71012.25191652938
20,2023-09-25,98064.47884900554,64150.89792835583,77407.41988025945,95184.72936708733,101015.48138644377,-28259.655942200567,-31303.466530407473,-24568.1924935123,-12731.200400314801,-13656.483182765322,-11725.32845210335,-15528.455541885767,-18930.686428329544,-11937.851621491985,0.0,0.0,0.0,69804.82290680497
21,2023-09-26,97997.5824572241,76897.74204081607,90792.08457214195,95110.84351672034,100895.38561700721,-14678.847215709742,-17949.522095344906,-11111.340068739784,414.5503656556448,-317.43535282228953,1137.6657694107741,-15093.397581365389,-18599.39395272293,-11729.17714258405,0.0,0.0,0.0,83318.73524151435
22,2023-09-27,97930.68606544266,81036.04311060596,95697.74419890104,95036.95766635335,100781.4531399446,-9543.634946981758,-13042.598062881681,-5803.69785332225,5095.034880815366,4392.123417730833,5971.917193061503,-14638.669827797125,-17947.83992399775,-11449.620791592446,0.0,0.0,0.0,88387.05111846089
